아파트ID,아파트명,지번주소,위도,경도,세대수,임대수,동수,주차대수,용적률,건폐율,건설사
65,개포우성1차,서울시 강남구 대치동 503,37.491444,127.059773,690,0,9,828,178,12,우성건설
91,개포우성2차,서울시 강남구 대치동 500,37.491347,127.057841,450,0,5,540,0,0,우성건설(주)
11063,노빌리티빌리지,서울시 강남구 대치동 1017-1,37.497441,127.060433,14,0,1,29,254,41,신구종합건설(주)
111580,대치SK뷰,서울시 강남구 대치동 1029,37.495967,127.060322,239,0,4,421,247,26,에스케이건설(주)
10393,대치대우아이빌멤버스4차,서울시 강남구 대치동 891-26,37.504642,127.053828,134,0,1,134,634,59,(주)대우건설
9906,대치대우아이빌명문가,서울시 강남구 대치동 891-23,37.505138,127.053901,210,0,1,210,637,59,(주)대우건설
107810,대치더블유타워(도시형),서울시 강남구 대치동 952-2,37.505016,127.063471,149,0,1,100,199,53,우민산업개발(주)
22493,대치롯데캐슬리베,서울시 강남구 대치동 1025,37.496298,127.053809,144,0,2,270,299,20,롯데건설(주)
135,대치삼성1차,서울시 강남구 대치동 1014-3,37.496538,127.059121,960,0,14,1259,261,21,삼성물산 주식회사
9782,대치삼성2차,서울시 강남구 대치동 1014-1,37.497046,127.057614,19,0,1,44,180,43,(주)삼성물산 주택개발부문
8994,대치삼성3차,서울시 강남구 대치동 1016-2,37.497535,127.059855,35,0,2,72,222,43,삼성물산(주)
105210,대치상지리츠빌카일룸,서울시 강남구 대치동 1009-4,37.501584,127.068208,15,0,1,42,249,42,상지건설(주)
185,대치쌍용1차,서울시 강남구 대치동 66,37.498984,127.072142,630,0,5,670,169,13,
166,대치쌍용2차,서울시 강남구 대치동 65,37.499359,127.070486,364,0,4,364,176,12,
19418,대치아이파크,서울시 강남구 대치동 888,37.494754,127.054575,768,0,11,1171,274,14,현대산업개발(주)
209,대치우성1차,서울시 강남구 대치동 63,37.500395,127.070484,476,0,6,498,179,14,우성건설(주)
13081,대치우정에쉐르1,서울시 강남구 대치동 891-28,37.504627,127.054247,80,0,1,76,548,59,우정건설(주)
19313,대치우정에쉐르2,서울시 강남구 대치동 890-42,37.504308,127.052611,18,0,1,17,434,59,우정건설(주)
